EVID;Lat;Lon;Iobs;QIobs
1100022;50.586;4.072;5;A
1100022;50.5914;5.7508;5;A
1100022;50.5919;5.8339;5;A
1100022;50.5928;5.7922;5;A
1100022;50.594;5.861;5;A
1100022;50.5942;5.8997;5;A
1100022;50.6014;5.3575;5;A
1100022;50.6092;5.7161;5;A
1100022;50.6128;5.7492;5;A
1100022;50.6136;5.9417;5;A
1100022;50.6261;5.7172;5;A
1100022;50.6272;5.1508;5;A
1100022;50.6403;5.7961;5;A
1100022;50.6453;5.6672;5;A
1100022;50.6483;5.8231;5;A
1100022;50.6536;5.6831;5;A
1100022;50.6544;5.4517;5;A
1100022;50.6544;5.8656;5;A
1100022;50.666;5.992;5;A
1100022;50.6689;5.6981;5;A
1100022;50.6697;5.8061;5;A
1100022;50.6797;5.6947;5;A
1100022;50.68;5.3289;5;A
1100022;50.6844;5.7256;5;A
1100022;50.6867;5.3736;5;A
1100022;50.6867;5.7728;5;A
1100022;50.6883;5.5544;5;A
1100022;50.6961;5.3036;5;A
1100022;50.6967;5.7022;5;A
1100022;50.7039;5.8603;5;A
1100022;50.704;5.263;5;A
1100022;50.705;5.715;5;A
1100022;50.7072;5.6508;5;A
1100022;50.7094;5.62;5;A
1100022;50.7103;5.545;5;A
1100022;50.7108;5.6819;5;A
1100022;50.7114;5.6906;5;A
1100022;50.7117;5.5294;5;A
1100022;50.7164;5.6939;5;A
1100022;50.7186;6.0172;5;A
1100022;50.7206;5.7772;5;A
1100022;50.7264;5.565;5;A
1100022;50.7283;5.4269;5;A
1100022;50.7294;5.3581;5;A
1100022;50.7325;5.6311;5;A
1100022;50.7353;5.7703;5;A
1100022;50.7397;5.6117;5;A
1100022;50.7406;5.6975;5;A
1100022;50.7533;5.4986;5;A
1100022;50.7569;5.6811;5;A
1100022;50.7611;5.7433;5;A
1100022;50.7667;5.5319;5;A
1100022;50.781;5.467;5;A
1100022;50.7825;5.6967;5;A
1100022;50.8022;5.3458;5;A
1100022;50.8167;5.1878;5;A
1100022;50.87;5.53;5;A
1100022;50.8903;5.6533;5;A
1100022;50.545;5.4667;6;A
1100022;50.575;5.5369;6;A
1100022;50.5833;5.4058;6;A
1100022;50.6028;5.6847;6;A
1100022;50.6108;5.6678;6;A
1100022;50.6231;5.685;6;A
1100022;50.6239;5.6558;6;A
1100022;50.6342;5.7003;6;A
1100022;50.6375;5.6808;6;A
1100022;50.6653;5.4636;6;A
1100022;50.6667;5.3989;6;A
1100022;50.6708;5.6411;6;A
1100022;50.6731;5.5872;6;A
1100022;50.6744;5.5147;6;A
1100022;50.6811;5.4372;6;A
1100022;50.6819;5.4553;6;A
1100022;50.6828;5.7456;6;A
1100022;50.6836;5.6681;6;A
1100022;50.6886;5.5261;6;A
1100022;50.6978;5.6533;6;A
1100022;50.7053;5.4403;6;A
1100022;50.7156;5.4711;6;A
1100022;50.7269;5.5092;6;A
1100022;50.7306;5.5261;6;A
1100022;50.7347;5.6681;6;A
1100022;50.7483;5.9583;6;A
1100022;50.7625;5.5106;6;A
1100022;50.8158;5.5361;6;A
1100022;50.6058;5.4842;7;A
1100022;50.6161;5.5139;7;A
1100022;50.6203;5.5264;7;A
1100022;50.635;5.5358;7;A
1100022;50.6414;5.5169;7;A
1100022;50.6436;5.5022;7;A
1100022;50.6458;5.5297;7;A
1100022;50.648;5.576;7;A
1100022;50.6536;5.5422;7;A
1100022;50.6542;5.3561;7;A
1100022;50.6661;5.5044;7;A
1100022;50.7611;5.6111;7;A
